fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category_enc,investment_type_Growth,investment_type_Unknown,investment_type_Value,size_type_Medium,size_type_Small,size_type_Unknown,morningstar_risk_rating
5.0,0.63,5.12,9.0,0.64,4.2,4.13,17.53,70.0,-0.04932,37,False,False,True,True,False,False,3
5.0,0.62,5.13,9.0,0.63,4.2,4.14,17.01,71.0,-0.04976,37,False,False,True,True,False,False,4
28.0,0.85,10.1,22.0,0.83,7.98,6.63,90.7,7.0,-0.14547,1,False,False,False,False,False,False,3
41.0,0.84,10.07,32.0,0.82,7.96,6.62,90.79,9.0,-0.14694,1,False,False,False,False,False,False,3
70.0,0.88,16.99,19.0,0.88,14.13,13.95,91.08,5.0,-0.11424,44,True,False,False,False,False,False,2
25.0,0.84,10.06,20.0,0.82,7.95,6.6,90.49,6.0,-0.14489,1,False,False,False,False,False,False,3
63.0,1.11,6.19,85.0,1.03,5.04,4.1,37.57,71.0,-0.05161,40,False,False,False,True,False,False,5
38.0,1.12,6.19,55.0,1.03,5.03,4.07,38.21,48.0,-0.04915,40,False,False,False,True,False,False,5
43.0,1.12,6.19,62.0,1.04,5.04,4.09,38.08,55.0,-0.05055,40,False,False,False,True,False,False,5
51.0,1.12,6.2,71.0,1.04,5.05,4.1,38.11,63.0,-0.05034,40,False,False,False,True,False,False,5
43.0,1.13,6.21,62.0,1.04,5.06,4.11,38.59,55.0,-0.04975,40,False,False,False,True,False,False,5
38.0,1.12,6.2,55.0,1.04,5.05,4.08,38.27,48.0,-0.04912,40,False,False,False,True,False,False,5
40.0,1.1,6.16,55.0,1.03,5.02,4.08,37.48,58.0,-0.04902,40,False,False,False,True,False,False,5
73.0,0.77,9.32,62.0,0.77,7.78,7.29,88.22,16.0,-0.12245,113,False,False,False,False,False,False,1
91.0,0.86,16.62,63.0,0.88,14.35,13.17,83.44,66.0,-0.22098,14,False,False,True,False,False,False,1
91.0,0.84,11.21,50.0,0.82,9.87,11.49,72.5,21.0,-0.1438,90,False,False,False,False,False,False,4
64.0,0.77,9.32,56.0,0.77,7.78,7.28,88.11,15.0,-0.12098,113,False,False,False,False,False,False,1
2.0,1.42,37.85,3.0,1.01,13.51,13.17,48.23,1.0,-0.1457,49,False,False,False,False,False,False,5
70.0,0.77,9.3,60.0,0.77,7.78,7.29,88.45,16.0,-0.12106,113,False,False,False,False,False,False,1
1.0,1.42,37.98,3.0,1.01,13.51,13.17,48.18,1.0,-0.14604,49,False,False,False,False,False,False,5
83.0,-0.04,22.78,58.0,0.04,18.17,13.17,0.08,29.0,0.33136,49,False,False,False,False,False,False,5
92.0,0.84,11.24,52.0,0.82,9.9,11.51,72.55,22.0,-0.14462,90,False,False,False,False,False,False,4
82.0,-0.04,22.87,57.0,0.04,18.24,13.17,0.08,28.0,0.33333,49,False,False,False,False,False,False,5
87.0,0.84,11.22,44.0,0.82,9.88,11.5,72.86,16.0,-0.14042,90,False,False,False,False,False,False,4
